Country,Year,Population,Income,Energy
Chile,1974,10600000,7130,721
Chile,1975,10800000,7230,751
Chile,1976,10900000,7790,767
Chile,1977,11100000,8260,782
Chile,1978,11300000,8770,815
Chile,1979,11400000,9290,830
Chile,1980,11600000,9640,831
Chile,1981,11700000,8150,752
Chile,1982,11900000,7750,767
Chile,1983,12100000,8030,795
Chile,1984,12300000,8010,782
Chile,1985,12400000,8260,804
Chile,1986,12600000,8600,817
Chile,1987,12800000,9020,910
Chile,1988,13100000,9750,1000
Chile,1989,13300000,9880,1060
Chile,1990,13500000,10500,1060
Chile,1991,13700000,11500,1130
Chile,1992,13900000,12000,1140
Chile,1993,14200000,12400,1200
Chile,1994,14400000,13300,1280
Chile,1995,14600000,14000,1390
Chile,1996,14800000,14900,1540
Chile,1997,15000000,15300,1570
Chile,1998,15200000,15100,1650
Chile,1999,15300000,15700,1640
Chile,2000,15500000,16000,1590
Chile,2001,15700000,16300,1630
Chile,2002,15800000,16800,1630
Chile,2003,16000000,17900,1720
Chile,2004,16200000,18700,1750
Chile,2005,16400000,19700,1810
Chile,2006,16500000,20400,1850
Chile,2007,16700000,20900,1820
Chile,2008,16900000,20400,1750
Chile,2009,17100000,21300,1810
Chile,2010,17200000,22400,1950
China,1970,849000000,1310,465
China,1971,869000000,1260,477
China,1972,889000000,1300,484
China,1973,908000000,1270,486
China,1974,926000000,1300,527
China,1975,943000000,1200,537
China,1976,958000000,1220,577
China,1977,972000000,1300,617
China,1978,986000000,1350,619
China,1979,#VALUE!,1350,609
China,1980,#VALUE!,1330,597
China,1981,#VALUE!,1400,607
China,1982,#VALUE!,1410,622
China,1983,#VALUE!,1500,651
China,1984,#VALUE!,1540,658
China,1985,#VALUE!,1560,671
China,1986,#VALUE!,1600,694
China,1987,#VALUE!,1590,720
China,1988,#VALUE!,1510,724
China,1989,#VALUE!,1420,767
China,1990,#VALUE!,1540,737
China,1991,#VALUE!,1730,753
China,1992,#VALUE!,1950,788
China,1993,#VALUE!,2180,816
China,1994,#VALUE!,2390,867
China,1995,#VALUE!,2600,882
China,1996,#VALUE!,2810,872
China,1997,#VALUE!,3000,869
China,1998,#VALUE!,3210,879
China,1999,#VALUE!,3450,899
China,2000,#VALUE!,3710,929
China,2001,#VALUE!,4020,985
China,2002,#VALUE!,4400,1120
China,2003,#VALUE!,4820,1270
China,2004,#VALUE!,5340,1390
China,2005,#VALUE!,5980,1520
China,2006,#VALUE!,6800,1630
China,2007,#VALUE!,7410,1670
China,2008,#VALUE!,8070,1780
China,2009,#VALUE!,8890,1950
China,2010,#VALUE!,9690,2090
Cote d'Ivoire,1970,5330000,3310,461
Cote d'Ivoire,1971,5580000,3320,467
Cote d'Ivoire,1972,5840000,3420,461
Cote d'Ivoire,1973,6120000,3370,459
Cote d'Ivoire,1974,6410000,3230,462
Cote d'Ivoire,1975,6710000,3470,475
Cote d'Ivoire,1976,7030000,3490,463
Cote d'Ivoire,1977,7350000,3680,473
Cote d'Ivoire,1978,7690000,3610,458
Cote d'Ivoire,1979,8030000,3740,445
Cote d'Ivoire,1980,8390000,3730,424
Cote d'Ivoire,1981,8760000,3600,404
Cote d'Ivoire,1982,9140000,3340,378
Cote d'Ivoire,1983,9530000,3110,369
Cote d'Ivoire,1984,9920000,3150,373
Cote d'Ivoire,1985,10300000,3130,398
Cote d'Ivoire,1986,10700000,2970,392
Cote d'Ivoire,1987,11100000,2810,385
Cote d'Ivoire,1988,11500000,2700,384
Cote d'Ivoire,1989,11900000,2400,364
Cote d'Ivoire,1990,12400000,2340,362
Cote d'Ivoire,1991,12800000,2310,380
Cote d'Ivoire,1992,13300000,2280,380
Cote d'Ivoire,1993,13700000,2250,377
Cote d'Ivoire,1994,14200000,2340,363
Cote d'Ivoire,1995,14700000,2510,395
Cote d'Ivoire,1996,15100000,2630,390
Cote d'Ivoire,1997,15600000,2750,378
Cote d'Ivoire,1998,16000000,2780,438
Cote d'Ivoire,1999,16500000,2710,413
Cote d'Ivoire,2000,16900000,2700,387
Cote d'Ivoire,2001,17200000,2640,405
Cote d'Ivoire,2002,17600000,2600,375
Cote d'Ivoire,2003,18000000,2620,517
Cote d'Ivoire,2004,18400000,2660,524
Cote d'Ivoire,2005,18800000,2700,504
